ts,comp_score,is_bullish,atr_pct,rsi,macd_hist_norm,vol_ratio,label
2026-01-04 20:00:00,6.11,1,0.8834542382670089,75.47167556264836,1.529134354904869,0.6228774749716229,0
2026-01-05 04:00:00,5.74,1,1.4370089120919687,65.3714270497121,1.2435649326899334,0.9089693563958712,0
2026-01-05 04:00:00,5.0,1,0.9886065577108342,66.72378251783834,0.30915709237277283,1.1440845490633045,0
2026-01-05 04:00:00,5.37,1,0.8177904168784946,76.51782406151406,1.8632172890975152,1.1376397429489131,0
2026-01-05 04:00:00,5.74,1,0.758101965243552,71.73743333881335,1.9423620025540809,0.8700906262471553,1
2026-01-05 12:00:00,5.0,1,0.8230605085402856,77.06200311198808,2.308729587924945,1.2130623262412996,0
2026-01-05 16:00:00,5.74,1,1.4112090615020532,71.89395094348433,1.3566590541919619,1.924408635759053,1
2026-01-05 16:00:00,5.37,1,0.8525613687392578,79.29270491124683,2.3905460957710902,1.1108157555869924,0
2026-01-05 16:00:00,6.85,1,1.052944641510824,75.69273973268197,1.2090966500837907,1.939957184495441,0
2026-01-05 16:00:00,6.11,1,0.7836060448055358,79.4197175156883,3.038566094714853,1.7815825781425056,1
2026-01-05 20:00:00,5.37,1,0.8197492680451345,73.58969971495571,2.7122789749426457,1.058634468932769,1
2026-01-05 20:00:00,5.37,1,1.092605824248405,75.91107691580937,1.4132328663667764,1.4942934502648908,0
2026-01-05 20:00:00,6.48,1,1.4125142442763912,70.16104978937045,1.3970205142136638,1.1323428936997315,1
2026-01-06 00:00:00,5.37,1,1.189597664745724,75.92441964269541,1.352070971428224,1.0824846917710573,0
2026-01-06 08:00:00,6.48,1,1.6231438812083985,71.49004487797154,1.1437883498975496,1.087490069238067,1
2026-01-06 16:00:00,5.0,1,1.0045336376894274,56.01528830838905,-0.052757412019021704,1.7845778804801975,0
2026-01-06 16:00:00,5.0,1,1.3114342173428846,64.27993019343661,0.6105754173458199,2.3424280735942697,0
2026-01-06 16:00:00,5.37,1,1.6843078393285624,58.46796669345776,0.541670995316175,1.8630051404520342,1
2026-01-06 16:00:00,5.37,1,0.9368000477718245,51.97886388826914,-1.0505186178575348,2.5181780278427954,1
2026-01-06 20:00:00,5.74,1,1.0207084010536318,65.28095146346905,0.2107590401249413,1.087268540931883,0
2026-01-06 20:00:00,6.48,1,1.8150795901008543,65.71894046891276,0.9853710013503287,1.0781477396414383,1
2026-01-06 20:00:00,5.37,1,0.9558507925939246,61.807167528083596,-0.9072824854152767,1.44459205059255,1
2026-01-06 20:00:00,6.11,1,1.3889707373467592,72.87211071387145,1.32678204787451,1.0590165495852448,0
2026-01-07 00:00:00,5.37,1,1.1244918335282132,54.93913983660339,-1.5370453294779458,0.9967010207616374,1
2026-01-07 12:00:00,6.11,1,1.3776185234775642,50.241662062288555,-1.79346064957161,1.2411913537950872,0
2026-01-07 12:00:00,6.11,1,1.8004414771880888,47.3499677541424,-2.8627595822382825,1.6518387504011531,0
2026-01-07 16:00:00,5.74,1,1.3802899436928293,48.901886574346186,-2.7170207703562954,0.5509091674223193,0
2026-01-07 16:00:00,5.74,1,1.7881096024273753,44.76608589112132,-4.503571182074715,1.018462079595816,0
2026-01-10 20:00:00,5.37,1,0.9963008476109697,56.42010931915383,1.710016050619708,0.9941113480502478,0
2026-01-11 16:00:00,5.74,1,0.9973701460240236,51.48101837033872,0.4671947524745093,0.8523572242593097,0
2026-01-12 04:00:00,5.74,1,0.4967956649913879,54.691789961340305,1.4282745541160788,1.1503640661198398,1
2026-01-12 12:00:00,5.56,1,0.5357403900850117,56.0309193040129,1.2210065381956285,1.800302470248625,1
2026-01-12 16:00:00,5.0,1,0.6128107245694651,57.665878071840446,1.5181738585500872,2.1798189949753817,1
2026-01-12 20:00:00,5.74,1,0.949089189095651,43.48057181600623,0.7293225340472357,0.9386146971086741,1
2026-01-13 08:00:00,5.74,1,1.1498952713713648,53.81963666392947,0.8973942529655435,1.106360572963424,1
