st_trend,dist_to_st,atr_pct,rsi,adx,bb_width,vol_ratio,label
-1.0,0.13511898046138734,1.773424372685744,63.221282993620925,19.343293499306387,3.5326355179536146,2.059565563334142,0
1.0,5.584525883813055,1.7135801134147117,65.16459313629147,19.471781273223396,4.646747152134589,1.0124223214326677,0
-1.0,6.519029434199151,1.422860383741529,28.001787360294344,19.031688406614588,4.884735846712701,4.334908124243001,0
1.0,7.123267293475516,1.7383428827541303,60.24041451980748,25.89267863245654,10.80349078051754,2.7722610802663734,0
1.0,0.7729341392480834,1.6207993698382217,39.6836423558626,19.677751444080695,4.47426676975663,1.5717079339715136,1
1.0,0.44056305056554945,1.5580609088987247,38.186130277245134,21.19590109250523,5.101334034039896,0.6249654478211264,1
1.0,0.8383085978228362,1.483147799941948,41.05467211593268,22.530834250698433,5.609352117852593,0.4297188305972293,1
1.0,0.7373507938205571,1.3702332997120674,40.538893926242,23.77041504044926,6.0366580214141585,0.22763601698842484,0
1.0,0.775170397316016,1.2921412477448495,40.838550984324186,25.062999645264142,6.3838561943043395,0.46520753449408575,0
1.0,0.9161056343524271,1.2502906020052547,42.0134191226177,25.518381155540283,6.553231529882346,0.6598834548719814,0
1.0,0.5247489412249958,1.2307734939394874,39.66384927863045,26.221071715525966,6.739071816151346,0.48715378888810856,0
1.0,0.3365261673973543,1.1890564724327986,38.55361017717139,26.98726948910744,6.998646744621773,0.3853863236490551,1
1.0,0.8759077020540443,1.128230612452209,43.45542616458946,27.497615827552238,6.936818665852347,0.2712074252815808,0
1.0,0.49590125063653484,1.0864251086285277,40.971616244654506,27.89257039242679,6.73563162335715,0.2988647280722208,0
1.0,0.23858340513667645,1.035128251422713,39.34226780068902,28.382455584453965,6.407359730628273,0.33905280090867024,0
1.0,0.6901216703472208,1.1494154770552258,43.58988814740101,29.757356171350416,5.892753463113873,1.6580867501179095,1
1.0,2.722473057080163,1.302517242400443,58.155703533526356,28.43026195493621,5.448336502100841,1.5613182943243236,0
1.0,1.6138283604486003,1.463855642243871,50.43361778053184,27.29550145898423,4.8109972997270525,1.2642109737234948,1
1.0,1.1392502685268435,1.5494390720176592,46.62526714938677,22.96407243023459,3.8176007462734876,2.1186086525653898,1
1.0,1.7241661023322756,1.4088177361931111,49.94499987920128,21.137724466070335,3.5432247375812813,0.901202043854191,1
1.0,0.5988577853893466,1.7109240263901613,42.39222549303436,18.45867610819618,5.022731233898214,1.2926961408130386,0
1.0,1.031311705241868,1.6201276879353868,44.59207083181271,17.168695164859077,5.05058747238927,0.7201279014299942,0
1.0,0.9979720579015664,1.517678158502768,44.45057567601416,15.988733132006432,5.18232826517694,0.489812442864149,0
1.0,0.590562606289424,1.5264952454345166,42.67639973738437,15.332502814732218,5.405240056658365,1.1177911090522845,0
1.0,1.6491155556068713,1.6019800491572957,48.46955512719004,14.440575043384225,5.3999187400482045,1.120381827942419,0
1.0,0.6597904193997228,1.7010710121390036,42.91220346281757,15.225105109822929,5.203490214962126,1.6639202729978462,0
1.0,0.9495347440267997,1.6579867503371652,44.39176736027896,14.746521141335332,5.252624702687749,1.3325965523083874,0
1.0,1.0265643703453842,1.5470294960031103,44.80286120447341,14.30212174202542,5.3351302843556905,0.35559776150340283,0
1.0,0.9954048513444571,1.0172920980680669,44.965527187857326,12.242966968471155,4.609209070172938,0.25917095898014403,0
1.0,0.02041566404848761,0.9874078155302495,38.51275213671717,12.924044160139912,4.093066767224582,0.9718235196444882,0
-1.0,3.222496978234188,0.9800250986651049,36.35564199716489,13.947382238464956,4.370429535430366,0.8358568763583734,1
-1.0,2.709162106492211,1.5955423539591913,42.39663554863741,28.014524965871352,5.433399143473848,2.740960963709343,0
-1.0,1.2238766233349634,1.5330976640596528,55.07986222372155,20.932718423700607,4.156219148163876,2.199055238532857,0
-1.0,1.8701879797093863,1.8452187871731836,52.198330180795466,18.425513478658818,4.352533098057744,1.622926694969814,0
-1.0,1.993052495402886,1.8945136962753892,51.65945940601259,18.35505391989205,4.414990975702448,1.2069714693613462,0
-1.0,0.9266386427368989,1.0971923470620408,56.7749202316925,17.365102157508893,3.13636113098934,1.3189311505630081,0
-1.0,0.4784510734759918,1.0378025433755318,59.831926998168875,18.001706530967564,1.962668600829163,0.6897853010594227,0
1.0,3.4973247973491883,1.039880079685488,65.0447296399204,19.320852189588113,2.1364864713918115,1.428029198200341,0
1.0,0.7141146952509023,1.267572115858213,44.4904068622063,18.648523503066464,2.512855072299274,1.3120876895738125,0
1.0,1.0326417462139956,1.204572740601022,46.75662249207337,17.460274157256826,2.576248819780178,0.9277276007928297,0
1.0,0.5649873658062682,1.2448965943529486,43.92548292175368,16.84048933637254,2.7634669177041054,2.035266008587535,0
1.0,0.9155990507491316,1.2432909350215562,46.53614792134966,15.886743081586584,2.8397890766201526,1.7949081649775216,0
1.0,0.6133489298003384,1.2586655352149214,44.60717393243582,14.882779236444438,2.9742410283038128,1.2713990188632958,0
1.0,0.4429140629554539,1.2464684096443293,43.516978320927514,14.32374194882901,3.1423908372108302,0.8427486536725008,0
-1.0,3.8589839532633405,1.2034601915440704,40.49466396590759,13.88458977211497,3.436368088271155,0.6981193581133937,0
-1.0,1.7060619096716918,1.174975021721001,54.15643361404087,10.500814219669854,2.2032766085465667,1.6486727014651343,0
1.0,3.6612804025146795,0.801581412109821,69.54165632954764,10.908743237716296,3.0396325373484174,2.8228766952368542,0
-1.0,4.344168392877445,1.0184188272635537,46.82023065259842,12.029441355402486,3.317428052571001,2.621102939317758,0
-1.0,1.6414512470858875,1.030841853552358,52.12774413160108,12.055168381763774,3.358162976552758,1.516724643183804,0
-1.0,0.1915014014353683,0.7852040210933352,62.66738998880341,15.528871076330963,2.5545879630295536,1.8752757240631897,0
-1.0,0.2865632069118812,0.89468082713607,61.570590728283065,16.64865652069771,2.620759488880538,2.3419741168167447,0
1.0,2.781120233209732,0.9962431740574174,65.26758553208688,18.47031961099493,2.9354401009597098,2.469867595464185,1
1.0,0.6133902390701382,1.1455979407178538,51.978811094201134,44.127350700875304,5.824728403633294,2.5181780278427954,0
1.0,2.3557096892277847,1.1992862669747715,61.80713235561565,41.68612960391173,5.475349419407164,1.44459205059255,0
1.0,0.5947297271188494,1.2129457068010763,49.884639136009525,35.10585652510271,4.3260915466503045,0.9772799126678556,0
-1.0,3.904738802972952,1.2400783472560926,45.423272564605384,33.676518580434205,4.378465626145933,1.3167272103824947,0
-1.0,0.7291919414972404,0.7990259726525702,60.31778675553946,15.439717322432427,1.4099703813077706,2.5484340487080153,0
-1.0,1.170013959027166,0.8217638629399593,54.69178295176889,16.24926020109195,1.5004873309571187,1.1503640661198398,0
-1.0,0.6709110517197372,1.0027104860272777,57.665873746197086,14.03364705108619,1.8971528315820025,2.1798189949753817,0
-1.0,1.2940050217644485,1.029391506107644,51.70481436139533,13.64301767458583,1.9169262443823376,0.9652819189935105,0
-1.0,0.5825166003351151,0.9778001520972218,57.460698259490044,13.883442367255004,2.0639393286989387,1.793053891565821,0
-1.0,0.5182973666082538,0.9607445703774824,57.95770609323654,14.878267831155727,2.216175806236191,1.6599232983878653,0
1.0,3.976897919940059,1.0291514240198358,67.91723361908208,16.529266189056422,3.109110726894381,2.5132720715806736,1
